Ad;SwiftKodu
T.C. Ziraat Bankası;TCZBTR2A
T.Halkbankası;TRHBTR2A
T.Vakıflar Bankası;TVBATR2A
Adabank A.Ş.;
Akbank T.A.Ş.;AKBKTRIS
Anadolubank A.Ş.;ANDLTRIS
Fibabanka A.Ş.;FBHLTRIS
Şekerbank T.A.Ş.;SEKETR2A
Turkish Bank A.Ş.;TUBATRIS
Türk Ekonomi Bankası A.Ş.;TEBUTRIS
Türkiye İş Bankası A.Ş.;ISBKTRIS
Yapı ve Kredi Bankası A.Ş.;YAPITRIS
Alternatifbank A.Ş.;
Arap Türk Bankası A.Ş.;ATUBTRIS
Bank of Tokyo-Mitsubishi UFJ Turkey A.Ş.;BOTKTRIS
Burgan Bank A.Ş.;TEKFTRIS
Citibank A.Ş.;CITITRIX
Denizbank A.Ş.;DENITRIS
Deutsche Bank A.Ş.;BKTRTRIS
Finans Bank A.Ş.;FNNBTRIS
HSBC Bank A.Ş.;HSBCTRIX
ICBC Turkey Bank A.Ş.;ICBKTRIS
ING Bank A.Ş.;INGBTRIS
Odea Bank A.Ş.;ODEATRIS
Rabobank A.Ş.;RABOTRIS
Turkland Bank A.Ş.;TBNKTRIS
Türkiye Garanti Bankası A.Ş.;TGBATRIS
Bank Mellat;BKMTTRIS
Habib Bank Limited;
Intesa Sanpaolo S.P.A.;BCITTRIS
JPMorgan Chase Bank N.A.;CHASTRIS
Société Générale (SA);SOGETRIS
The Royal Bank of Scotland Plc.;
İller Bankası A.Ş.;
Türk Eximbank;TIKBTR2A
Türkiye Kalkınma Bankası A.Ş.;TKBNTR2A
Aktif Yatırım Bankası A.Ş.;CAYTTRIS
Diler Yatırım Bankası A.Ş.;DYAKTRIS
GSD Yatırım Bankası A.Ş.;GSDBTRIS
İstanbul Takas ve Saklama Bankası A.Ş.;TVSBTRIS
Nurol Yatırım Bankası A.Ş.;NUROTRIS
Türkiye Sınai Kalkınma Bankası A.Ş.;TSKBTRIS
BankPozitif Kredi ve Kalkınma Bankası A.Ş.;BPTRTRIS
Merrill Lynch Yatırım Bank A.Ş.;
Pasha Yatırım Bankası A.Ş.;TAIBTRIS
Standard Chartered Yatırım Bankası Türk A.Ş.;BSUITRIS
