Sinif;Alan;Kategori
StokBakiye;Miktar;Miktar
StokHareketleriD;Miktar;Miktar
StokHareketleriD;YerelBirimMaliyet;Yerel
StokHareketleriD;YerelToplamMaliyet;Yerel
StokModelKonfigrasyonD;Miktar;Miktar
StokTanim;ToplamMiktar;Miktar
StokTanim;MinimumStokSeviyesi;Miktar
StokTanim;MaximumStokSeviyesi;Miktar
StokTanim;KritikStokSeviyesi;Miktar
StokTanim;SiparisStokSeviyesi;Miktar
StokTanim;En;Miktar
StokTanim;Boy;Miktar
StokTanim;Yukseklik;Miktar
StokTanim;Metrekare;Miktar
StokTanim;MetreKup;Miktar
StokTanim;Agirlik;Miktar
StokTransferi;Miktar;Miktar
SatinAlmaSiparisiD;Miktar;Miktar
SatinAlmaTalebiD;Miktar;Miktar
SatinAlmaTeklifD;Miktar;Miktar
SatinAlmaTeklifD;TalepMiktari;Miktar
SatisSiparisD;Miktar;Miktar
ReceteTanimD;Miktar;Miktar
ReceteTanimM;Miktar;Miktar
ReceteMaliyetD;Miktar;Miktar
WW_SatisSiparisRapor;Miktar;Miktar
CariHesapHareketleri;BorcTutar;Tutar
CariHesapHareketleri;AlacakTutar;Tutar
KasaBankaHareketleri;BorcTutar;Tutar
KasaBankaHareketleri;AlacakTutar;Tutar
KasaBankaTanim;AcilisBakiyesi;Tutar
StokTanim;AlisFiyati;Tutar
StokTanim;SonAlisFiyati;Tutar
SatisFiyatListeD;BirimFiyat;Tutar
SatisFiyatListeD;ListeFiyati;Tutar
SatisSiparisD;BirimFiyat;Tutar
SatisSiparisD;BurutTutar;Tutar
SatisSiparisD;IndirimTutar;Tutar
SatisSiparisD;KDVHaricTutar;Tutar
SatisSiparisD;KDVTutar;Tutar
SatisSiparisD;NetTutar;Tutar
SatisSiparisM;BurutTutar;Tutar
SatisSiparisM;IndirimTutar;Tutar
SatisSiparisM;KDVHaricTutar;Tutar
SatisSiparisM;KDVTutar;Tutar
SatisSiparisM;NetTutar;Tutar
SatinAlmaSiparisiD;BirimFiyat;Tutar
SatinAlmaSiparisiD;ToplamTutar;Tutar
SatinAlmaSiparisiM;ToplamTutar;Tutar
WW_SatisSiparisRapor;BirimFiyat;Tutar
WW_SatisSiparisRapor;BurutTutar;Tutar
WW_SatisSiparisRapor;IndirimTutar;Tutar
WW_SatisSiparisRapor;KDVHaricTutar;Tutar
WW_SatisSiparisRapor;KDVTutar;Tutar
WW_SatisSiparisRapor;NetTutar;Tutar
CariHesapHareketleri;YerelBorcTutar;Yerel
CariHesapHareketleri;YerelAlacakTutar;Yerel
KasaBankaHareketleri;YerelBorcTutar;Yerel
KasaBankaHareketleri;YerelAlacakTutar;Yerel
SatisSiparisD;YerelTutar;Yerel
SatisSiparisM;YerelTutar;Yerel
WW_SatisSiparisRapor;YerelTutar;Yerel
StokHareketleriD;BirimMaliyet;Tutar
StokHareketleriD;ToplamMaliyet;Tutar
StokTanim;OrtalamaMaliyet;Maliyet
StokBakiye;OrtalamaMaliyet;Maliyet
StokBakiye;ToplamDeger;Maliyet
ReceteTanimM;UrunMaliyeti;Maliyet
ReceteMaliyetD;BirimFiyat;Maliyet
ReceteMaliyetD;Tutar;Maliyet
SatinAlmaTalebiD;TahminiBirimFiyat;Maliyet
SatinAlmaTalebiD;TahminiTutar;Maliyet
SatinAlmaTalebiM;TahminiToplamTutar;Maliyet
SatinAlmaTeklifD;TeklifBirimFiyat;Maliyet
SatinAlmaTeklifD;TeklifTutar;Maliyet
WW_FiyatListeRapor;ListeFiyati;Maliyet
WW_FiyatListeRapor;BirimFiyat;Maliyet
