Kod;Ad;FinansModulTipi;StokHareketYonu
STOKTN;Stok Tanımlama;Stok;Yok
HZMTTN;Hizmet Tanımlama;Stok;Yok
MSRFTN;Masraf Tanımlama;Stok;Yok
CARITN;Cari Hesap Tanımlama;Cari;Yok
STACLS;Stok Açılış Fişi;Stok;Giris
STALIS;Stok Alış Girişi;Stok;Giris
STSAGR;Satın Alma Mal Kabul Girişi;Stok;Giris
STURET;Üretim Girişi;Stok;Giris
STSFAZ;Sayım Fazlası;Stok;Giris
STTRGR;Depo Transfer Girişi;Stok;Giris
STSTIG;Satış İade Girişi;Stok;Giris
STSTIS;Stok Satış Çıkışı;Stok;Cikis
STURTK;Üretim Tüketimi;Stok;Cikis
STSEKS;Sayım Eksiği;Stok;Cikis
STTRCK;Depo Transfer Çıkışı;Stok;Cikis
STFIRE;Fire / Zayiat;Stok;Cikis
STSAIC;Satın Alma İade Çıkışı;Stok;Cikis
STTRNS;Depo Transferi;Stok;Yok
KASATN;Kasa Tanımlama;Kasa;Yok
BANKTN;Banka Hesabı Tanımlama;Banka;Yok
ACILIS;Açılış Fişi;TahsilatOdeme;Yok
TAHSIL;Tahsilat Fişi;TahsilatOdeme;Yok
ODEME;Ödeme Fişi;TahsilatOdeme;Yok
VIRMAN;Virman Fişi;TahsilatOdeme;Yok
