Sinif;Alan;Kategori
StokTanim;En;Miktar
StokTanim;Boy;Miktar
StokTanim;Yukseklik;Miktar
StokTanim;Metrekare;Miktar
StokTanim;MetreKup;Miktar
StokTanim;Agirlik;Miktar
StokTanim;AlisFiyati;Tutar
StokTanim;SatisFiyati;Tutar
StokTanim;SonAlisFiyati;Tutar
DovizGunlukKurD;DovizAlis;Kur
DovizGunlukKurD;DovizSatis;Kur
DovizGunlukKurD;EfektifDovizAlis;Kur
DovizGunlukKurD;EfektifDovizSatis;Kur
StokTanim;ToplamMiktar;Miktar
StokTanim;OrtalamaMaliyet;Maliyet
StokBakiye;Miktar;Miktar
StokHareketleriD;Miktar;Miktar
StokHareketleriD;BirimMaliyet;Maliyet
StokHareketleriD;ToplamMaliyet;Maliyet
StokHareketleriD;YerelBirimMaliyet;Maliyet
StokHareketleriD;YerelToplamMaliyet;Maliyet
StokHareketleriD;DovizKuru;Kur
StokTransferi;Miktar;Miktar
